# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415138880;-77255.42;1.37;34493.43
axle;60;1415138940;2099.98;0.32;-817.25
axle;60;1415139000;-7991.88;-0.08;-1496.83
axle;60;1415139060;-2763.67;-14.43;-11527.77
axle;60;1415139120;16986.80;-66.95;-5657.60
axle;60;1415139180;20515.18;1.25;624.88
axle;60;1415139240;-19452.78;-25.75;433.40
axle;60;1415139300;13400.90;0.70;212.15
axle;60;1415139360;-11493.63;0.93;606.68
axle;60;1415139420;10253.25;0.87;576.22
axle;60;1415139480;-11383.20;0.95;609.93
axle;60;1415139540;48649.08;0.93;686.85
axle;60;1415139600;-650.00;0.83;723.58
axle;60;1415139660;-890.32;1.30;904.98
axle;60;1415139720;-826.43;0.77;842.47
axle;60;1415139780;-885.17;0.73;872.45
axle;60;1415139840;-826.80;0.65;850.37
axle;60;1415139900;-938.15;0.63;930.13
axle;60;1415139960;-826.88;0.58;833.92
axle;60;1415140020;-857.13;0.70;869.90
axle;60;1415140080;-844.05;1.27;846.55
axle;60;1415140140;-1175.50;0.75;822.15
axle;60;1415140200;-620.17;0.83;950.97
axle;60;1415140260;-760.08;0.53;756.85
axle;60;1415140320;-988.05;0.70;934.02
