# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415138880;sdb;1480.23;3511.87;62253.73;44.43;5.80;3.92;0.04;5.95
axle;60;1415138880;sda;44.88;0.27;1049.60;23.39;0.06;1.27;0.11;0.49
axle;60;1415138940;sdb;1495.68;3716.40;55844.80;39.82;2.63;1.76;0.03;4.02
axle;60;1415138940;sda;61.25;0.13;1785.47;29.15;0.02;0.31;0.16;0.95
axle;60;1415139000;sdb;1631.80;3643.87;53946.40;35.29;5.52;3.39;0.04;5.87
axle;60;1415139000;sda;107.88;0.27;3105.33;28.79;0.13;1.18;0.20;2.13
axle;60;1415139060;sdb;1648.85;3618.27;51430.13;33.39;3.26;1.98;0.03;4.39
axle;60;1415139060;sda;244.23;0.27;7326.13;30.00;2.20;9.00;0.30;7.38
axle;60;1415139120;sdb;1646.30;3567.47;49660.00;32.33;3.24;1.97;0.02;3.90
axle;60;1415139120;sda;113.62;0.40;3380.40;29.76;0.83;7.27;0.31;3.48
axle;60;1415139180;sdb;1745.35;3771.20;49722.80;30.65;4.98;2.86;0.03;5.26
axle;60;1415139180;sda;7.27;2.93;440.13;60.97;0.02;3.17;2.08;1.51
axle;60;1415139240;sdb;1945.90;3541.33;56491.73;30.85;3.48;1.79;0.02;4.50
axle;60;1415139240;sda;15.57;2.67;1060.27;68.28;0.01;0.67;0.24;0.38
axle;60;1415139300;sdb;2010.58;3635.20;57089.20;30.20;4.30;2.14;0.02;4.56
axle;60;1415139300;sda;13.98;3.07;530.27;38.14;0.00;0.20;0.13;0.19
axle;60;1415139360;sdb;2070.72;3712.00;53286.93;27.53;4.41;2.13;0.02;4.69
axle;60;1415139360;sda;7.17;0.53;442.93;61.88;0.00;0.10;0.10;0.07
axle;60;1415139420;sdb;1414.10;3801.73;39439.87;30.58;2.47;1.75;0.03;3.61
axle;60;1415139420;sda;6.20;0.13;423.73;68.37;0.00;0.08;0.01;0.01
axle;60;1415139480;sdb;1982.10;3588.27;50314.67;27.19;3.36;1.70;0.02;4.79
axle;60;1415139480;sda;6.90;0.40;437.73;63.50;0.00;0.11;0.07;0.05
axle;60;1415139540;sdb;1860.95;4206.93;48261.47;28.19;3.09;1.66;0.02;4.24
axle;60;1415139540;sda;6.40;0.27;425.20;66.48;0.00;0.15;0.08;0.05
axle;60;1415139600;sdb;1439.87;4753.07;39190.93;30.52;3.09;2.14;0.02;3.17
axle;60;1415139600;sda;5.15;0.00;379.87;73.76;0.00;0.60;0.04;0.02
axle;60;1415139660;sdb;128.73;5414.53;12987.07;142.94;0.56;4.36;0.10;1.30
axle;60;1415139660;sda;4.53;0.27;672.00;148.29;0.00;0.25;0.12;0.05
axle;60;1415139720;sdb;989.98;5401.60;25062.00;30.77;2.72;2.75;0.03;2.89
axle;60;1415139720;sda;3.75;0.67;357.47;95.50;0.00;0.59;0.12;0.05
axle;60;1415139780;sdb;665.08;5188.27;21769.60;40.53;2.04;3.06;0.03;2.26
axle;60;1415139780;sda;6.72;0.27;699.20;104.14;0.00;0.40;0.09;0.06
axle;60;1415139840;sdb;866.77;5384.53;22050.27;31.65;2.28;2.63;0.03;3.00
axle;60;1415139840;sda;3.53;0.00;358.00;101.32;0.00;0.42;0.02;0.01
axle;60;1415139900;sdb;1218.83;5384.53;31779.20;30.49;3.90;3.20;0.04;4.49
axle;60;1415139900;sda;6.55;0.00;697.47;106.48;0.00;0.36;0.02;0.01
axle;60;1415139960;sdb;1212.83;5397.33;28489.60;27.94;2.92;2.41;0.03;3.41
axle;60;1415139960;sda;3.80;0.00;245.73;64.67;0.00;0.07;0.02;0.01
axle;60;1415140020;sdb;1172.63;5410.13;29807.73;30.03;2.88;2.46;0.02;2.92
axle;60;1415140020;sda;5.35;0.00;495.60;92.64;0.00;0.81;0.01;0.01
axle;60;1415140080;sdb;1186.22;5282.27;29737.07;29.52;3.46;2.92;0.03;3.28
axle;60;1415140080;sda;5.25;0.13;682.67;130.06;0.00;0.70;0.06;0.03
axle;60;1415140140;sdb;1220.12;5363.20;30346.80;29.27;3.21;2.63;0.03;3.63
axle;60;1415140140;sda;5.05;0.00;373.07;73.87;0.00;0.95;0.01;0.01
axle;60;1415140200;sdb;1094.00;5418.67;29250.67;31.69;2.60;2.38;0.03;3.42
axle;60;1415140200;sda;5.60;0.27;684.40;122.26;0.00;0.23;0.04;0.02
axle;60;1415140260;sdb;1215.82;5363.20;30087.07;29.16;2.69;2.21;0.02;2.80
axle;60;1415140260;sda;3.77;0.00;359.47;95.43;0.00;0.28;0.02;0.01
axle;60;1415140320;sdb;1039.98;5358.93;28549.73;32.61;2.36;2.27;0.03;3.16
axle;60;1415140320;sda;6.75;0.13;699.20;103.60;0.00;0.15;0.05;0.03
