# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415138880;1756.00;31651.67;1812775.73;0.00;90586.32;0.00;1446.32;1008.40;69.72
axle;60;1415138940;1858.27;28815.13;1318007.98;0.00;82323.65;0.00;1851.37;1423.05;76.86
axle;60;1415139000;1822.07;28525.87;1393037.62;0.00;91616.27;0.00;2612.57;2128.58;81.47
axle;60;1415139060;1809.27;29378.13;1060509.85;0.00;100869.38;7493.90;6036.25;12408.15;91.71
axle;60;1415139120;1783.93;26520.20;1154116.33;0.02;128229.87;3862.25;3130.92;6449.13;92.22
axle;60;1415139180;1884.93;25081.47;1544950.78;0.00;116276.67;0.00;0.00;0.00;0.00
axle;60;1415139240;1774.13;28776.00;1239474.63;0.03;88987.23;0.00;426.67;367.20;86.06
axle;60;1415139300;1819.13;28809.73;1466275.32;0.02;105757.15;0.00;521.02;413.70;79.40
axle;60;1415139360;1856.27;26864.93;1317599.42;0.02;92463.57;0.00;0.00;0.00;0.00
axle;60;1415139420;1900.93;19931.80;1163159.87;0.00;99471.28;0.00;0.00;0.00;0.00
axle;60;1415139480;1794.33;25376.20;1353537.88;0.00;95547.88;0.00;0.00;0.00;0.00
axle;60;1415139540;2103.60;24343.33;1250953.27;0.00;113972.88;0.00;0.00;0.00;0.00
axle;60;1415139600;2376.53;19785.40;55471.50;0.00;14223.12;0.00;0.00;0.00;0.00
axle;60;1415139660;2707.40;6829.53;53944.58;0.00;13169.88;0.00;0.00;0.00;0.00
axle;60;1415139720;2701.13;12709.73;57089.15;0.00;10672.05;0.00;0.00;0.00;0.00
axle;60;1415139780;2594.27;11234.40;55564.72;0.00;12467.57;0.00;0.00;0.00;0.00
axle;60;1415139840;2692.27;11204.13;55656.80;0.00;10641.13;0.00;0.00;0.00;0.00
axle;60;1415139900;2692.27;16238.33;57773.70;0.00;12571.70;0.00;0.00;0.00;0.00
axle;60;1415139960;2698.67;14367.67;54770.95;0.00;10699.40;0.00;0.00;0.00;0.00
axle;60;1415140020;2705.07;15151.67;56182.62;0.00;12252.60;0.00;0.00;0.00;0.00
axle;60;1415140080;2641.20;15209.87;56053.33;0.00;10891.07;0.00;0.00;0.00;0.00
axle;60;1415140140;2681.60;15359.93;54404.98;0.00;10762.77;0.00;0.00;0.00;0.00
axle;60;1415140200;2709.47;14967.53;55484.42;0.00;12691.43;0.00;0.00;0.00;0.00
axle;60;1415140260;2681.60;15223.27;57988.92;0.00;10703.75;0.00;0.00;0.00;0.00
axle;60;1415140320;2679.53;14624.47;53074.15;0.00;12459.92;0.00;0.00;0.00;0.00
