Linux 3.11.0-17-generic (axle) 	04/11/14 	_x86_64_	(64 CPU)

21:45:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:46:05        all      6.45      0.00      1.23      0.19      0.00     92.13
21:47:05        all      4.20      0.00      0.59      0.16      0.00     95.05
21:48:05        all      3.18      0.00      0.39      0.04      0.00     96.38
21:49:05        all      3.17      0.00      0.40      0.08      0.00     96.34
21:50:05        all      3.47      0.00      0.47      0.07      0.00     95.99
21:51:05        all      3.76      0.00      0.60      0.36      0.00     95.27
21:52:05        all      2.97      0.00      0.48      0.07      0.00     96.48
21:53:05        all      4.93      0.00      1.11      0.03      0.00     93.93
21:54:05        all      5.45      0.00      0.35      0.05      0.00     94.15
21:55:05        all      3.93      0.00      0.27      0.04      0.00     95.75
21:56:05        all      3.30      0.00      0.23      0.00      0.00     96.47
21:57:05        all      3.29      0.00      0.24      0.00      0.00     96.47
