# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415137565;64894.13;1.28;-63993.73
axle;60;1415137625;-21454.75;0.77;21526.37
axle;60;1415137685;-8737.78;0.63;8707.02
axle;60;1415137745;-8604.28;0.68;8591.60
axle;60;1415137805;-16886.20;0.72;6462.30
axle;60;1415137865;-14682.15;1.18;7628.42
axle;60;1415137925;5907.53;0.65;4778.52
axle;60;1415137985;-41445.55;0.72;6820.77
axle;60;1415138045;638.68;0.93;9266.98
axle;60;1415138105;5226.83;0.90;8246.11
axle;60;1415138165;-3183.10;0.68;3102.65
axle;60;1415138225;-7669.13;0.70;7474.43
