ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1415138821.07396,template1,0,0,0,0,0,0,0,0,0,0
1415138821.07396,template0,0,0,0,0,0,0,0,0,0,0
1415138821.07396,postgres,0,1370,7,8432,57449,632995,21412,0,0,0
1415138821.07396,dbt3,21,27841,0,3235486316,6841938399,99275428159,46255104355,1043530582,3870,3159877
1415138881.08288,template1,0,0,0,0,0,0,0,0,0,0
1415138881.08288,template0,0,0,0,0,0,0,0,0,0,0
1415138881.08288,postgres,0,1372,7,8460,57479,633921,21423,0,0,0
1415138881.08288,dbt3,38,29698,0,3245880066,6942166334,99819444839,46520350693,1043606496,4033,3160395
1415138941.08969,template1,0,0,0,0,0,0,0,0,0,0
1415138941.08969,template0,0,0,0,0,0,0,0,0,0,0
1415138941.08969,postgres,0,1374,7,8488,57509,634847,21434,0,0,0
1415138941.08969,dbt3,38,30074,0,3268767668,7063816758,101331499547,46816703764,1043696465,4100,3235526
1415139001.09199,template1,0,0,0,0,0,0,0,0,0,0
1415139001.09199,template0,0,0,0,0,0,0,0,0,0,0
1415139001.09199,postgres,0,1376,7,8516,57539,635773,21445,0,0,0
1415139001.09199,dbt3,38,30492,0,3298032148,7294039414,102490975479,47222970639,1043786249,4173,3310317
1415139061.098,template1,0,0,0,0,0,0,0,0,0,0
1415139061.098,template0,0,0,0,0,0,0,0,0,0,0
1415139061.098,postgres,0,1378,7,8544,57569,636699,21456,0,0,0
1415139061.098,dbt3,36,30794,0,3320891855,7482875181,103764920993,47515106598,1043876756,4224,3384859
1415139121.10813,template1,0,0,0,0,0,0,0,0,0,0
1415139121.10813,template0,0,0,0,0,0,0,0,0,0,0
1415139121.10813,postgres,0,1380,7,8572,57599,637625,21467,0,0,0
1415139121.10813,dbt3,35,31108,0,3349295597,7693023960,105356228288,47685823917,1043981383,4277,3534966
1415139181.09947,template1,0,0,0,0,0,0,0,0,0,0
1415139181.09947,template0,0,0,0,0,0,0,0,0,0,0
1415139181.09947,postgres,0,1382,7,8600,57629,638551,21478,0,0,0
1415139181.09947,dbt3,37,31564,0,3380063234,7911796015,106895921443,48012556092,1044071138,4376,3610421
1415139241.10611,template1,0,0,0,0,0,0,0,0,0,0
1415139241.10611,template0,0,0,0,0,0,0,0,0,0,0
1415139241.10611,postgres,0,1384,7,8628,57659,639477,21489,0,0,0
1415139241.10611,dbt3,38,31891,0,3403577368,8078947504,108045341800,48329662905,1044161033,4435,3685651
1415139301.11061,template1,0,0,0,0,0,0,0,0,0,0
1415139301.11061,template0,0,0,0,0,0,0,0,0,0,0
1415139301.11061,postgres,0,1386,7,8656,57689,640403,21500,0,0,0
1415139301.11061,dbt3,37,32332,0,3435654650,8323772278,109575465839,48605259275,1044325980,4541,3760869
1415139361.12052,template1,0,0,0,0,0,0,0,0,0,0
1415139361.12052,template0,0,0,0,0,0,0,0,0,0,0
1415139361.12052,postgres,0,1388,7,8684,57719,641329,21511,0,0,0
1415139361.12052,dbt3,38,32712,0,3461345138,8474019762,111112098528,48801394569,1044416587,4636,3835719
1415139421.1286,template1,0,0,0,0,0,0,0,0,0,0
1415139421.1286,template0,0,0,0,0,0,0,0,0,0,0
1415139421.1286,postgres,0,1390,7,8712,57749,642255,21522,0,0,0
1415139421.1286,dbt3,38,33060,0,3490556678,8725860352,112190401002,49113302075,1044506883,4697,3910836
1415139481.12383,template1,0,0,0,0,0,0,0,0,0,0
1415139481.12383,template0,0,0,0,0,0,0,0,0,0,0
1415139481.12383,postgres,0,1392,7,8740,57779,643181,21533,0,0,0
1415139481.12383,dbt3,37,33460,0,3517621416,8888544730,113683201189,49509249395,1044597478,4768,3986064
1415139541.13274,template1,0,0,0,0,0,0,0,0,0,0
1415139541.13274,template0,0,0,0,0,0,0,0,0,0,0
1415139541.13274,postgres,0,1394,7,8768,57809,644107,21544,0,0,0
1415139541.13274,dbt3,6,33967,0,3555922799,9214507946,115331186517,49967146573,1044687101,4893,4060894
1415139601.13324,template1,0,0,0,0,0,0,0,0,0,0
1415139601.13324,template0,0,0,0,0,0,0,0,0,0,0
1415139601.13324,postgres,0,1396,7,8768,57867,645033,21555,0,0,0
1415139601.13324,dbt3,6,34000,0,3556707967,9216698493,115406301024,49967149688,1044776941,4896,4135971
1415139661.1356,template1,0,0,0,0,0,0,0,0,0,0
1415139661.1356,template0,0,0,0,0,0,0,0,0,0,0
1415139661.1356,postgres,0,1398,7,8784,57909,645959,21566,0,0,0
1415139661.1356,dbt3,6,34052,0,3558045270,9221325095,115556523621,49967154066,1044957122,4902,4285759
1415139721.14544,template1,0,0,0,0,0,0,0,0,0,0
