# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415138328;14832800;249286756;94.38;139708;211645732;134285984;49.07;160215800;80090624
axle;60;1415138388;14292944;249826612;94.59;139852;211807236;134654828;49.20;161213676;79619260
axle;60;1415138448;13149448;250970108;95.02;140040;211960476;135667728;49.57;170668064;71299748
axle;60;1415138508;14506892;249612664;94.51;140208;212119204;134134728;49.01;170617000;69981708
axle;60;1415138568;14204308;249915248;94.62;140388;212277964;134293064;49.07;171959660;68952148
axle;60;1415138628;14198716;249920840;94.62;140568;212437876;134165608;49.02;172004176;68924664
axle;60;1415138688;14021428;250098128;94.69;140880;212596580;134181728;49.03;172146888;68938800
axle;60;1415138748;13852420;250267136;94.76;141044;212753304;134194332;49.03;172947288;68307852
axle;60;1415138808;13692036;250427520;94.82;141204;212913152;134182824;49.03;174855476;66549080
